year,n,cumulative
1751,1,1
1758,30,31
1761,8,39
1762,1,40
1763,13,53
1764,1,54
1766,3,57
1767,7,64
1770,9,73
1771,5,78
1772,2,80
1773,15,95
1775,43,138
1776,34,172
1777,5,177
1778,4,181
1781,22,203
1783,1,204
1785,14,218
1787,15,233
1789,24,257
1790,41,298
1791,35,333
1792,6,339
1793,56,395
1794,5,400
1797,3,403
1798,54,457
1799,13,470
1801,12,482
1802,168,650
1804,74,724
1805,16,740
1806,41,781
1807,19,800
1808,9,809
1809,22,831
1810,2,833
1811,8,841
1812,6,847
1817,8,855
1818,1,856
1819,2,858
1821,1,859
1822,1,860
1823,2,862
1824,9,871
1825,10,881
1826,1,882
1828,6,888
1831,6,894
1832,62,956
1833,8,964
1834,10,974
1835,29,1003
1836,25,1028
1837,46,1074
1838,48,1122
1839,3,1125
1840,28,1153
1841,248,1401
1842,10,1411
1843,11,1422
1844,9,1431
1845,37,1468
1846,11,1479
1847,16,1495
1848,36,1531
1849,40,1571
1850,4,1575
1851,50,1625
1852,119,1744
1853,395,2139
1854,181,2320
1855,17,2337
1856,2,2339
1857,59,2398
1858,17,2415
1859,11,2426
1860,35,2461
1861,53,2514
1862,38,2552
1863,73,2625
1864,53,2678
1865,46,2724
1866,10,2734
1867,15,2749
1868,63,2812
1869,79,2891
1870,81,2972
1871,144,3116
1872,180,3296
1873,84,3380
1874,113,3493
1875,174,3667
1876,168,3835
1877,68,3903
1878,275,4178
1879,385,4563
1880,40,4603
1881,13,4616
1882,98,4714
1883,42,4756
1884,79,4835
1885,8,4843
1886,51,4894
1887,52,4946
1888,78,5024
1889,28,5052
1890,118,5170
1891,77,5247
1892,42,5289
1893,132,5421
1894,96,5517
1895,344,5861
1896,283,6144
1897,248,6392
1898,172,6564
1899,254,6818
1900,165,6983
1901,161,7144
1902,248,7392
1903,595,7987
1904,402,8389
1905,420,8809
1906,290,9099
1907,209,9308
1908,281,9589
1909,443,10032
1910,455,10487
1911,484,10971
1912,308,11279
1913,342,11621
1914,437,12058
1915,193,12251
1916,272,12523
1917,231,12754
1918,140,12894
1919,225,13119
1920,152,13271
1921,247,13518
1922,264,13782
1923,162,13944
1924,381,14325
1925,300,14625
1926,253,14878
1927,113,14991
1928,129,15120
1929,286,15406
1930,287,15693
1931,312,16005
1932,162,16167
1933,261,16428
1934,245,16673
1935,372,17045
1936,433,17478
1937,449,17927
1938,147,18074
1939,250,18324
1940,102,18426
1941,64,18490
1942,76,18566
1943,106,18672
1944,76,18748
1945,94,18842
1946,118,18960
1947,111,19071
1948,49,19120
1949,134,19254
1950,91,19345
1951,120,19465
1952,36,19501
1953,54,19555
1954,109,19664
1955,37,19701
1956,68,19769
1957,68,19837
1958,56,19893
1959,27,19920
1960,115,20035
1961,80,20115
1962,145,20260
1963,34,20294
1964,88,20382
1965,179,20561
1966,30,20591
1967,83,20674
1968,111,20785
1969,101,20886
1970,59,20945
1971,24,20969
1972,113,21082
1973,85,21167
1974,109,21276
1975,197,21473
1976,55,21528
1977,79,21607
1978,99,21706
1979,81,21787
1980,128,21915
1981,60,21975
1982,115,22090
1983,93,22183
1984,87,22270
1985,46,22316
1986,83,22399
1987,43,22442
1988,62,22504
1989,78,22582
1990,54,22636
1991,102,22738
1992,113,22851
1993,101,22952
1994,57,23009
1995,53,23062
1996,32,23094
1997,51,23145
1998,69,23214
1999,78,23292
2000,53,23345
2001,74,23419
2002,49,23468
2003,50,23518
2004,56,23574
2005,34,23608
2006,48,23656
2007,58,23714
2008,22,23736
2009,69,23805
2010,22,23827
2011,26,23853
2012,35,23888
2013,30,23918
2014,15,23933
2015,28,23961
2016,16,23977
2017,11,23988
2018,47,24035
2019,20,24055
2020,10,24065
2021,6,24071
2022,22,24093
2023,1,24094
NA,72,24166
